id|nome_portal|texto_postagem|comment
8|g1|EUA apresentam plano de paz para Gaza com conselho presidido por Trump, anistia ao Hamas e possibilidade de Estado palestino #g1 #g1mundo|Presidido pelo orange man?
8|g1|EUA apresentam plano de paz para Gaza com conselho presidido por Trump, anistia ao Hamas e possibilidade de Estado palestino #g1 #g1mundo|Bibi já aceitou 
9|g1|"EUA apresentam plano de paz para Gaza com conselho presidido por Trump, anistia ao Hamas e possibilidade de Estado palestino 
glo.bo/4mCliBf #g1"|"EUA apresentam plano de paz para Gaza com conselho presidido por Trump, anistia ao Hamas e possibilidade de Estado palestino 
glo.bo/4mCliBf #g1"
9|g1|"EUA apresentam plano de paz para Gaza com conselho presidido por Trump, anistia ao Hamas e possibilidade de Estado palestino 
glo.bo/4mCliBf #g1"|TRAGAM O NOBEL DA PAZ A DONALD TRUMP.
9|g1|"EUA apresentam plano de paz para Gaza com conselho presidido por Trump, anistia ao Hamas e possibilidade de Estado palestino 
glo.bo/4mCliBf #g1"|O financiador do genocídio tem um plano de paz e o fiador do extermínio, q disse q ia construir um RESORT em Gaza é q vai presidir o Conselho? Vai dar muito certo, só não é pra Palestina.
9|g1|"EUA apresentam plano de paz para Gaza com conselho presidido por Trump, anistia ao Hamas e possibilidade de Estado palestino 
glo.bo/4mCliBf #g1"| RESUMO DA ÓPERA: TRUMP e NETANYAHU propõem um plano de capitulação e transformação de Gaza no seu Resort particular.
9|g1|"EUA apresentam plano de paz para Gaza com conselho presidido por Trump, anistia ao Hamas e possibilidade de Estado palestino 
glo.bo/4mCliBf #g1"|"Só ""esqueceram"" de colocar na proposta uma cláusula impedindo Israel tentar controlar o território e tirar os colonos de lá."
9|g1|"EUA apresentam plano de paz para Gaza com conselho presidido por Trump, anistia ao Hamas e possibilidade de Estado palestino 
glo.bo/4mCliBf #g1"|Depois que rolou a química entre Trump e Lula, o cara até mais humano ficou.
9|g1|"EUA apresentam plano de paz para Gaza com conselho presidido por Trump, anistia ao Hamas e possibilidade de Estado palestino 
glo.bo/4mCliBf #g1"|"O interessante é: "" com possibilidade do Estado palestino"". Isso é uma excrescência"
9|g1|"EUA apresentam plano de paz para Gaza com conselho presidido por Trump, anistia ao Hamas e possibilidade de Estado palestino 
glo.bo/4mCliBf #g1"|Não a nada ruim que não possa ser piorado. Coitado do povo de Gaza, sendo conduzido por dois FDP.
9|g1|"EUA apresentam plano de paz para Gaza com conselho presidido por Trump, anistia ao Hamas e possibilidade de Estado palestino 
glo.bo/4mCliBf #g1"|Se Netanyahu tá feliz, não é bom para os Palestinos
9|g1|"EUA apresentam plano de paz para Gaza com conselho presidido por Trump, anistia ao Hamas e possibilidade de Estado palestino 
glo.bo/4mCliBf #g1"|Os bolsonaristas apoiando o Hamas em 2,3,1
9|g1|"EUA apresentam plano de paz para Gaza com conselho presidido por Trump, anistia ao Hamas e possibilidade de Estado palestino 
glo.bo/4mCliBf #g1"|Os caras do Hamas depois de ver o plano.
9|g1|"EUA apresentam plano de paz para Gaza com conselho presidido por Trump, anistia ao Hamas e possibilidade de Estado palestino 
glo.bo/4mCliBf #g1"|Anistia pra terrorista. A terra plana ta capotada mesmo
9|g1|"EUA apresentam plano de paz para Gaza com conselho presidido por Trump, anistia ao Hamas e possibilidade de Estado palestino 
glo.bo/4mCliBf #g1"|Anistia ao Hamas? Que bosta é essa? Eu sou contra o estado de Israel e o que eles tem feito com o povo de gaza, mas anistiar terrorista não existe. Trump é um louco e já passou da hora de vestir uma camisa de força.
9|g1|"EUA apresentam plano de paz para Gaza com conselho presidido por Trump, anistia ao Hamas e possibilidade de Estado palestino 
glo.bo/4mCliBf #g1"|HAHAHAHAHAHA VAMOS VER COMO A GALERA QUE PEDE ANISTIA SE COMPORTA
9|g1|"EUA apresentam plano de paz para Gaza com conselho presidido por Trump, anistia ao Hamas e possibilidade de Estado palestino 
glo.bo/4mCliBf #g1"|"Provavelmente vão empurrar o ""novo estado palestino"" pra região mais sem recursos do território..."
9|g1|"EUA apresentam plano de paz para Gaza com conselho presidido por Trump, anistia ao Hamas e possibilidade de Estado palestino 
glo.bo/4mCliBf #g1"|um plano genérico, cheio de meias verdades e evasivas, bem mal feito aliás, uma bela porcaria
9|g1|"EUA apresentam plano de paz para Gaza com conselho presidido por Trump, anistia ao Hamas e possibilidade de Estado palestino 
glo.bo/4mCliBf #g1"|Está faltando um ponto: retirar os colonatos de todos os Territórios Palestinos e também fazer um plano de desradicalização para eles.
9|g1|"EUA apresentam plano de paz para Gaza com conselho presidido por Trump, anistia ao Hamas e possibilidade de Estado palestino 
glo.bo/4mCliBf #g1"|Anistia ao hama?
9|g1|"EUA apresentam plano de paz para Gaza com conselho presidido por Trump, anistia ao Hamas e possibilidade de Estado palestino 
glo.bo/4mCliBf #g1"|Aí tem.
9|g1|"EUA apresentam plano de paz para Gaza com conselho presidido por Trump, anistia ao Hamas e possibilidade de Estado palestino 
glo.bo/4mCliBf #g1"|certeza que empurraram condições goela abaixo nos Israelenses
9|g1|"EUA apresentam plano de paz para Gaza com conselho presidido por Trump, anistia ao Hamas e possibilidade de Estado palestino 
glo.bo/4mCliBf #g1"|Esse plano é uma PIADA
9|g1|"EUA apresentam plano de paz para Gaza com conselho presidido por Trump, anistia ao Hamas e possibilidade de Estado palestino 
glo.bo/4mCliBf #g1"|Nobel da Paz para Trump.
9|g1|"EUA apresentam plano de paz para Gaza com conselho presidido por Trump, anistia ao Hamas e possibilidade de Estado palestino 
glo.bo/4mCliBf #g1"|Agora deveria seguir até a criação do estado palestino.
9|g1|"EUA apresentam plano de paz para Gaza com conselho presidido por Trump, anistia ao Hamas e possibilidade de Estado palestino 
glo.bo/4mCliBf #g1"|Nada de bom pode vir desse laranja maquiavélico.
9|g1|"EUA apresentam plano de paz para Gaza com conselho presidido por Trump, anistia ao Hamas e possibilidade de Estado palestino 
glo.bo/4mCliBf #g1"|Esse senhor merece o Nobel da Paz! Trump é Nobel, bicho!
9|g1|"EUA apresentam plano de paz para Gaza com conselho presidido por Trump, anistia ao Hamas e possibilidade de Estado palestino 
glo.bo/4mCliBf #g1"|Anistia ao Hamas?! Depois daquele banhodesangue q foi o 07/10/23??! Loucura completa. Inaceitável. Terrorista hamasento não deve sobrar um. Força, Israel! 
9|g1|"EUA apresentam plano de paz para Gaza com conselho presidido por Trump, anistia ao Hamas e possibilidade de Estado palestino 
glo.bo/4mCliBf #g1"|Nada q este homem faz dar certo
9|g1|"EUA apresentam plano de paz para Gaza com conselho presidido por Trump, anistia ao Hamas e possibilidade de Estado palestino 
glo.bo/4mCliBf #g1"|Possibilidade? Tipo possibilidade? O Estado estava lá foi devastado por Judeus ...
10|g1|"Após confusão no ringue - O ex-campeão mundial de boxe Acelino “Popó” Freitas está desde o começo da tarde desta segunda-feira (29) na sala de cirurgia de um hospital da Rede D’OR, em Salvador. A informação foi confirmada pelo g1 junto a assessoria de imprensa do atleta.

Imagens"|"Após confusão no ringue - O ex-campeão mundial de boxe Acelino “Popó” Freitas está desde o começo da tarde desta segunda-feira (29) na sala de cirurgia de um hospital da Rede D’OR, em Salvador. A informação foi confirmada pelo g1 junto a assessoria de imprensa do atleta.

Imagens de raio-X, às quais o g1 teve acesso, mostram uma fratura na mão direita do atleta. A equipe de Popó não detalhou a lesão, mas confirmou que ele “quebrou a mão na confusão”. A fratura é uma consequência da briga generalizada que marcou o fim da luta contra Wanderlei Silva, no último sábado (28), em São Paulo.

O procedimento cirúrgico deve durar cerca de 2h30.

Segundo a nota enviada à reportagem, Popó realizou exames de cabeça, que não identificaram fraturas cranianas, embora tenha sido constatado um sangramento interno já controlado. O comunicado reforça que o lutador está clinicamente estável.

Saiba mais no #g1.
#popó #wanderleisilva #hospital #cirurgia #g1saúde"
10|g1|"Após confusão no ringue - O ex-campeão mundial de boxe Acelino “Popó” Freitas está desde o começo da tarde desta segunda-feira (29) na sala de cirurgia de um hospital da Rede D’OR, em Salvador. A informação foi confirmada pelo g1 junto a assessoria de imprensa do atleta.

Imagens"|Cena animalesca que só poderia ter sido proporcionada por bolsonaristas.
11|g1|"É #FAKE que a Receita Federal vai cobrar impostos de adultos que moram com os pais 
glo.bo/46vi7qd  #g1"|"É #FAKE que a Receita Federal vai cobrar impostos de adultos que moram com os pais 
glo.bo/46vi7qd  #g1"
11|g1|"É #FAKE que a Receita Federal vai cobrar impostos de adultos que moram com os pais 
glo.bo/46vi7qd  #g1"|É FAKE, mas tem muito marmanjo pendurado nos pais que ficou preocupado. 
11|g1|"É #FAKE que a Receita Federal vai cobrar impostos de adultos que moram com os pais 
glo.bo/46vi7qd  #g1"|Mas o imposto sobre os cachorros eles vão colocar..
11|g1|"É #FAKE que a Receita Federal vai cobrar impostos de adultos que moram com os pais 
glo.bo/46vi7qd  #g1"|"Um centro universitário com mais de 60 anos de experiência
Cursos de graduação; bacharelado, licenciatura, tecnólogo e pós-graduação à distância.
Descubra o curso ideal para você!"
11|g1|"É #FAKE que a Receita Federal vai cobrar impostos de adultos que moram com os pais 
glo.bo/46vi7qd  #g1"|A taxa das blusinhas também era ...
11|g1|"É #FAKE que a Receita Federal vai cobrar impostos de adultos que moram com os pais 
glo.bo/46vi7qd  #g1"|Mas seria muito bom se  isso acontecesse kkk
11|g1|"É #FAKE que a Receita Federal vai cobrar impostos de adultos que moram com os pais 
glo.bo/46vi7qd  #g1"|depois do pl vir com o IPVA DE BICICLETA.... O q me chama a atenção é como a galera da direita cai nessa.. pq tem q ser muito burro né?
11|g1|"É #FAKE que a Receita Federal vai cobrar impostos de adultos que moram com os pais 
glo.bo/46vi7qd  #g1"|Globo vem correndo defender o governo
11|g1|"É #FAKE que a Receita Federal vai cobrar impostos de adultos que moram com os pais 
glo.bo/46vi7qd  #g1"|Esse povo é muito jumentinho mesmo!!!
11|g1|"É #FAKE que a Receita Federal vai cobrar impostos de adultos que moram com os pais 
glo.bo/46vi7qd  #g1"|Igual o fake da taxinhas da shein
11|g1|"É #FAKE que a Receita Federal vai cobrar impostos de adultos que moram com os pais 
glo.bo/46vi7qd  #g1"|Gente vamos parar de desmentir essas maluquices, deixa os caras pirarem, se jogarem da ponte, enfim.
11|g1|"É #FAKE que a Receita Federal vai cobrar impostos de adultos que moram com os pais 
glo.bo/46vi7qd  #g1"|Grupo Globo fede a fezes... Merdal peida pela boca!!
11|g1|"É #FAKE que a Receita Federal vai cobrar impostos de adultos que moram com os pais 
glo.bo/46vi7qd  #g1"|FAKE NEWS é assim o sem caráter  cria, o canalha espalha e o ignorante acredita e compartilha.
12|g1|"Você dorme bem? Por que o sono pode ser aliado (ou vilão) do coração 
glo.bo/3Wap4XA #g1"|"Você dorme bem? Por que o sono pode ser aliado (ou vilão) do coração 
glo.bo/3Wap4XA #g1"
12|g1|"Você dorme bem? Por que o sono pode ser aliado (ou vilão) do coração 
glo.bo/3Wap4XA #g1"|a millionaire living my best life, I'm giving $20k each to anyone  who  message me 'grace.' I understand that many people are struggling with bills, and I want to help reduce  that burden
13|g1|"Corpo do jornalista Paulo Soares, o 'Amigão' da ESPN, é velado em SP 
glo.bo/46KRZGw #g1"|"Corpo do jornalista Paulo Soares, o 'Amigão' da ESPN, é velado em SP 
glo.bo/46KRZGw #g1"
14|g1|"Motorista e agentes de trânsito se envolvem em briga em Atibaia, SP 
glo.bo/488iKqO #g1"|"Motorista e agentes de trânsito se envolvem em briga em Atibaia, SP 
glo.bo/488iKqO #g1"
14|g1|"Motorista e agentes de trânsito se envolvem em briga em Atibaia, SP 
glo.bo/488iKqO #g1"|Kkkkk o cara montando no grandão igual desenho animado
14|g1|"Motorista e agentes de trânsito se envolvem em briga em Atibaia, SP 
glo.bo/488iKqO #g1"|Nem todo ..mas sempre um Nhonho
14|g1|"Motorista e agentes de trânsito se envolvem em briga em Atibaia, SP 
glo.bo/488iKqO #g1"|Achei que o torresmão tinha perdido a bermuda kkkkkkkk
14|g1|"Motorista e agentes de trânsito se envolvem em briga em Atibaia, SP 
glo.bo/488iKqO #g1"|Por isso que é sempre bom não andar como a cueca rasgada, já dizia minha avó. 
14|g1|"Motorista e agentes de trânsito se envolvem em briga em Atibaia, SP 
glo.bo/488iKqO #g1"|O elefante mal consegue ficar em pé e quer brigar?
14|g1|"Motorista e agentes de trânsito se envolvem em briga em Atibaia, SP 
glo.bo/488iKqO #g1"|Só faltou alguém pra bater na mulher defendendo o escroto
14|g1|"Motorista e agentes de trânsito se envolvem em briga em Atibaia, SP 
glo.bo/488iKqO #g1"|as pessoas acham que não levar desaforo pra casa é ser violento. aí saem resolvendo bate-boca com briga e ainda apanham 
14|g1|"Motorista e agentes de trânsito se envolvem em briga em Atibaia, SP 
glo.bo/488iKqO #g1"|ADMITA QUE VOCÊ TORCEU PELA BRIGA
14|g1|"Motorista e agentes de trânsito se envolvem em briga em Atibaia, SP 
glo.bo/488iKqO #g1"|Kkkkkkkkk buscou o contato…
14|g1|"Motorista e agentes de trânsito se envolvem em briga em Atibaia, SP 
glo.bo/488iKqO #g1"|O grandão pediu pra apanhar, inacreditável kkkkkkkk
14|g1|"Motorista e agentes de trânsito se envolvem em briga em Atibaia, SP 
glo.bo/488iKqO #g1"|Digno de um episódio de Os Trapalhões!
14|g1|"Motorista e agentes de trânsito se envolvem em briga em Atibaia, SP 
glo.bo/488iKqO #g1"|O gordão se achando o Hulk. Tomou uma surra e amansou na hora.
14|g1|"Motorista e agentes de trânsito se envolvem em briga em Atibaia, SP 
glo.bo/488iKqO #g1"|"Olha o nível da ignorância,  da intolerância e do ódio!!!
Vai ser preciso muito trabalho e muita pacificação no Brasil pós Bozo."
14|g1|"Motorista e agentes de trânsito se envolvem em briga em Atibaia, SP 
glo.bo/488iKqO #g1"|os guardinhas vão perder o emprego e o mamute vai processar o estado.
14|g1|"Motorista e agentes de trânsito se envolvem em briga em Atibaia, SP 
glo.bo/488iKqO #g1"|Depois de 2018 as pessoas começaram a serem ridículas. Que tristeza esse caos no meu lindo país.
14|g1|"Motorista e agentes de trânsito se envolvem em briga em Atibaia, SP 
glo.bo/488iKqO #g1"|Gordão passou vergonha na frente da esposa e ainda vai levar um processo criminal, boa porpeta resolve tudo igual um macaco que dá certo
14|g1|"Motorista e agentes de trânsito se envolvem em briga em Atibaia, SP 
glo.bo/488iKqO #g1"|rapaziada precisa aprender a lutar ou o basico de defesa pessoal kkkkkk pqp
14|g1|"Motorista e agentes de trânsito se envolvem em briga em Atibaia, SP 
glo.bo/488iKqO #g1"|Kkkkkkkkk o cara parece um elefante
14|g1|"Motorista e agentes de trânsito se envolvem em briga em Atibaia, SP 
glo.bo/488iKqO #g1"|O algoritmo hoje resolveu entregar briga, acidente.... os preparativos pra guerra ta começando
14|g1|"Motorista e agentes de trânsito se envolvem em briga em Atibaia, SP 
glo.bo/488iKqO #g1"|O pior é achar que está certo … só pq tem um carro mais caro, mora num lugarzinho melhor acha que é MELHOR que todo mundo … o mundo tá perdido.
14|g1|"Motorista e agentes de trânsito se envolvem em briga em Atibaia, SP 
glo.bo/488iKqO #g1"|"Cara a cada dia a ""humanidade"" , definha um pouco maís!!!! Chega a ser engraçado!!!!"
14|g1|"Motorista e agentes de trânsito se envolvem em briga em Atibaia, SP 
glo.bo/488iKqO #g1"|Uns homi bosta que nem sabe brigar kkkkk
14|g1|"Motorista e agentes de trânsito se envolvem em briga em Atibaia, SP 
glo.bo/488iKqO #g1"|Impressiona o preparo.
14|g1|"Motorista e agentes de trânsito se envolvem em briga em Atibaia, SP 
glo.bo/488iKqO #g1"|"Procurou e achou. Simples assim!

Pessoal tem que começar a entender que vc ser grande por ser GORDO, não significa tbm que você é FORTE."
14|g1|"Motorista e agentes de trânsito se envolvem em briga em Atibaia, SP 
glo.bo/488iKqO #g1"|Um arrombado desse ainda quer ter razão. Apanhou foi pouco.
14|g1|"Motorista e agentes de trânsito se envolvem em briga em Atibaia, SP 
glo.bo/488iKqO #g1"|Gordão Agressor de Funça herói nacional.
14|g1|"Motorista e agentes de trânsito se envolvem em briga em Atibaia, SP 
glo.bo/488iKqO #g1"|Parabéns para o cinegrafista
15|g1|"João-de-barro constrói 'condomínio' em escada de reservatório abandonado em MS 
glo.bo/4nspHaU #g1"|"João-de-barro constrói 'condomínio' em escada de reservatório abandonado em MS 
glo.bo/4nspHaU #g1"
15|g1|"João-de-barro constrói 'condomínio' em escada de reservatório abandonado em MS 
glo.bo/4nspHaU #g1"|O Boulos vendo isso
15|g1|"João-de-barro constrói 'condomínio' em escada de reservatório abandonado em MS 
glo.bo/4nspHaU #g1"|Boulos quer invadir
15|g1|"João-de-barro constrói 'condomínio' em escada de reservatório abandonado em MS 
glo.bo/4nspHaU #g1"|
15|g1|"João-de-barro constrói 'condomínio' em escada de reservatório abandonado em MS 
glo.bo/4nspHaU #g1"|Bom esconder da galera do MST
15|g1|"João-de-barro constrói 'condomínio' em escada de reservatório abandonado em MS 
glo.bo/4nspHaU #g1"|"Moraes diz que Eduardo está no exterior para fugir da lei e adota cooperação internacional pra notificar de denúncia 
glo.bo/3KJCfw2 #g1"
15|g1|"João-de-barro constrói 'condomínio' em escada de reservatório abandonado em MS 
glo.bo/4nspHaU #g1"|"OFICIAL! Palmeiras acerta renovação de contrato com o lateral-direito Giay até 2030.

 SEP"
15|g1|"João-de-barro constrói 'condomínio' em escada de reservatório abandonado em MS 
glo.bo/4nspHaU #g1"|" Apple ameaça sair da UE caso Comissão Europeia não revogue legislação contra as Big Techs

A Lei de Mercados Digitais destina-se a combater o monopólio e regular o poder guardião das empresas digitais, como mecanismos de busca, provedores de aplicativos e serviços de"
16|g1|"Registro raro: cobras são filmadas 'brigando' durante passeio em Bonito 
glo.bo/46Nh0kt #g1"|"Registro raro: cobras são filmadas 'brigando' durante passeio em Bonito 
glo.bo/46Nh0kt #g1"
16|g1|"Registro raro: cobras são filmadas 'brigando' durante passeio em Bonito 
glo.bo/46Nh0kt #g1"|"Pressão cresce sobre senador em esquema de fraudes do INSS 
claudiodantas.com.br/pressao-cresce
… via 
@portaldodantas"
16|g1|"Registro raro: cobras são filmadas 'brigando' durante passeio em Bonito 
glo.bo/46Nh0kt #g1"|"Trump: ""Ouvi dizer que Hamas quer fechar acordo"" sobre Gaza"
16|g1|"Registro raro: cobras são filmadas 'brigando' durante passeio em Bonito 
glo.bo/46Nh0kt #g1"|Grande SP tem terceira morte por suspeita de intoxicação por metanol, diz Prefeitura de São Bernardo
17|g1|"Passageiro é morto por motorista de ônibus após briga por ponto na Zona Sul de SP 
glo.bo/4h6GXQZ #g1"|"Passageiro é morto por motorista de ônibus após briga por ponto na Zona Sul de SP 
glo.bo/4h6GXQZ #g1"
17|g1|"Passageiro é morto por motorista de ônibus após briga por ponto na Zona Sul de SP 
glo.bo/4h6GXQZ #g1"|Que loucura...
21|g1|"'BC não pode agir com emoção': Galípolo explica por que Copom manteve Selic a 15% 
glo.bo/46sHLvH #g1"|"'BC não pode agir com emoção': Galípolo explica por que Copom manteve Selic a 15% 
glo.bo/46sHLvH #g1"
21|g1|"'BC não pode agir com emoção': Galípolo explica por que Copom manteve Selic a 15% 
glo.bo/46sHLvH #g1"|Mas quem mantém a taxa de juros nas alturas não é fascista, inimigo do povo e lacaio dos rentistas? Por que Painho não massacra ele igual fez com o RCN?
21|g1|"'BC não pode agir com emoção': Galípolo explica por que Copom manteve Selic a 15% 
glo.bo/46sHLvH #g1"|"This is America 
@Love4Merica
 @MAGAVoice
 Brother

Com Trump, bandidagem não se cria
A única diferença é que in US os esquerdoPaTa$ são bonitos

Já na América Latina é um haloween   aterrorizante"
23|g1|"Chefe de facção em MT preso em praia do RJ foi abordado por policiais à paisana 
glo.bo/4gNiFLj #g1"|"Chefe de facção em MT preso em praia do RJ foi abordado por policiais à paisana 
glo.bo/4gNiFLj #g1"
24|g1|"Piloto cai durante salto em competição de motocross e é atingido por outro atleta 
glo.bo/4mELnzm #g1"|"Piloto cai durante salto em competição de motocross e é atingido por outro atleta 
glo.bo/4mELnzm #g1"
25|g1|"GCM em SP apreende mais motos em 27 dias do que nos 8 meses anteriores a anúncio de bônus por produtividade 
glo.bo/42kokTf #g1"|"GCM em SP apreende mais motos em 27 dias do que nos 8 meses anteriores a anúncio de bônus por produtividade 
glo.bo/42kokTf #g1"
26|g1|"Adolescente sai ileso após ser atropelado ao atravessar a rua em Amparo, SP 
glo.bo/4nszAWk #g1"|"Adolescente sai ileso após ser atropelado ao atravessar a rua em Amparo, SP 
glo.bo/4nszAWk #g1"
27|g1|"Mulher detecta no sangue seis tipos substâncias tóxicas conhecidas como ‘contaminantes eternos' 
glo.bo/42WnGeS #g1"|"Mulher detecta no sangue seis tipos substâncias tóxicas conhecidas como ‘contaminantes eternos' 
glo.bo/42WnGeS #g1"
28|g1|"Extrato de cannabis reduz dor lombar crônica sem risco de dependência, mostra estudo clínico 
glo.bo/4h6D9iF #g1"|"Extrato de cannabis reduz dor lombar crônica sem risco de dependência, mostra estudo clínico 
glo.bo/4h6D9iF #g1"
29|g1|"Salgueiro escolhe samba-enredo para o carnaval de 2026 
glo.bo/4gMAv0Y #g1"|"Salgueiro escolhe samba-enredo para o carnaval de 2026 
glo.bo/4gMAv0Y #g1"
30|g1|"Grande SP tem terceira morte suspeita por intoxicação por metanol, diz Prefeitura de São Bernardo 
glo.bo/42gvvvR #g1"|"Grande SP tem terceira morte suspeita por intoxicação por metanol, diz Prefeitura de São Bernardo 
glo.bo/42gvvvR #g1"
